Run,Interatomic Distance (Bohr),Interatomic Distance (Ã…),Total Energy (eV)
0,1.890,1.0,-294.809934
1,1.928,1.02,-295.713761
2,1.965,1.04,-296.496732
3,2.003,1.06,-297.170780
4,2.041,1.08,-297.746722
5,2.079,1.1,-298.234322
6,2.116,1.12,-298.642455
7,2.154,1.14,-298.979130
8,2.192,1.16,-299.251288
9,2.230,1.18,-299.464397
10,2.268,1.2,-299.623630
11,2.305,1.22,-299.737019
12,2.343,1.24,-299.812861
13,2.381,1.26,-299.857133
14,2.419,1.28,-299.874160
15,2.457,1.3,-299.867419
16,2.494,1.32,-299.839938
17,2.532,1.34,-299.794447
18,2.570,1.36,-299.733420
19,2.608,1.38,-299.658984
20,2.646,1.4,-299.573054
21,2.683,1.42,-299.477382
22,2.721,1.44,-299.373628
23,2.759,1.46,-299.263245
24,2.797,1.48,-299.147466
25,2.835,1.5,-299.027436
26,2.872,1.52,-298.904162
27,2.910,1.54,-298.778595
28,2.948,1.56,-298.651507
29,2.986,1.58,-298.523583
30,3.024,1.6,-298.395463
31,3.061,1.62,-298.267627
32,3.099,1.64,-298.140533
33,3.137,1.66,-298.014508
34,3.175,1.68,-297.889925
35,3.213,1.7,-297.767042
36,3.250,1.72,-297.645982
37,3.288,1.74,-297.526868
38,3.326,1.76,-297.409775
39,3.364,1.78,-297.294844
40,3.402,1.8,-297.181950
41,3.439,1.82,-297.070917
42,3.477,1.84,-296.961397
43,3.515,1.86,-296.852901
44,3.553,1.88,-296.744719
45,3.590,1.9,-296.636359
46,3.628,1.92,-296.528097
47,3.666,1.94,-296.420259
48,3.704,1.96,-296.313145
49,3.742,1.98,-296.206819
50,3.779,2.0,-296.101395
51,3.817,2.02,-295.996968
52,3.855,2.04,-295.893599
53,3.893,2.06,-295.791342
54,3.931,2.08,-295.690190
55,3.968,2.1,-295.590274
56,4.006,2.12,-295.491600
57,4.044,2.14,-295.394204
58,4.082,2.16,-295.298070
59,4.120,2.18,-295.203252
60,4.157,2.2,-295.109830
61,4.195,2.22,-295.017776
62,4.233,2.24,-294.927081
63,4.271,2.26,-294.837744
64,4.309,2.28,-294.749844
65,4.346,2.3,-294.663375
66,4.384,2.32,-294.578280
67,4.422,2.34,-294.494544
68,4.460,2.36,-294.412206
69,4.498,2.38,-294.331299
70,4.535,2.4,-294.251758
71,4.573,2.42,-294.173476
72,4.611,2.44,-294.096517
73,4.649,2.46,-294.020924
74,4.687,2.48,-293.946667
75,4.724,2.5,-293.873629
76,4.762,2.52,-293.801724
77,4.800,2.54,-293.731113
78,4.838,2.56,-293.661799
79,4.875,2.58,-293.593713
80,4.913,2.6,-293.526669
81,4.951,2.62,-293.460747
82,4.989,2.64,-293.396079
83,5.027,2.66,-293.332644
84,5.064,2.68,-293.270337
85,5.102,2.7,-293.208982
86,5.140,2.72,-293.148758
87,5.178,2.74,-293.089731
88,5.216,2.76,-293.031871
89,5.253,2.78,-292.975075
90,5.291,2.8,-292.919236
91,5.329,2.82,-292.864461
92,5.367,2.84,-292.810804
93,5.405,2.86,-292.758275
94,5.442,2.88,-292.706819
95,5.480,2.9,-292.656253
96,5.518,2.92,-292.606657
97,5.556,2.94,-292.558120
98,5.594,2.96,-292.510722
99,5.631,2.98,-292.464379
100,5.669,3.0,-292.418784
101,5.707,3.02,-292.374091
102,5.745,3.04,-292.330431
103,5.783,3.06,-292.287943
104,5.820,3.08,-292.246306
105,5.858,3.1,-292.205340
106,5.896,3.12,-292.165226
107,5.934,3.14,-292.126115
108,5.972,3.16,-292.088097
